"","logFC","logCPM","F","PValue","p_value_FDR","FDR"
"qor",0.00949784939355495,6.07285427815871,0.00130067946672828,0.971443067726176,0.999366524090095,0.999366524090095
"dnaB",-0.187036840885641,8.11631156540385,1.02064166988837,0.319555768949485,0.999366524090095,0.999366524090095
"alr-b",-0.0251112411488742,7.02343373947523,0.0320428683024805,0.859003969787119,0.999366524090095,0.999366524090095
"tyrB",-0.182300357630217,6.13257052577311,1.01498526092996,0.320880722413877,0.999366524090095,0.999366524090095
"aphA",0.0286183359093971,6.26178399817455,0.037619682417835,0.847371593736258,0.999366524090095,0.999366524090095
"yjbQ",0.193547674864813,5.41056848759864,0.835995112064337,0.367031430555314,0.999366524090095,0.999366524090095
"yjbR",-0.430658112565904,6.74361928191961,0.57760778164587,0.454950972335965,0.999366524090095,0.999366524090095
"uvrA",-0.129793069746192,7.52547630378858,1.1709941938108,0.286868877171003,0.999366524090095,0.999366524090095
"ssb",-0.0986932313466083,8.40652763108571,0.45151360871494,0.506191420709716,0.999366524090095,0.999366524090095
"siiA",-0.427580986982046,3.95863792942307,0.365655349565983,0.550333855778221,0.999366524090095,0.999366524090095
"siiB",-0.0580700727601382,4.42846766276384,0.0147593846036306,0.904081772008279,0.999366524090095,0.999366524090095
"siiC",0.668275424630786,4.51254092926636,2.06323278473095,0.160095823506345,0.999366524090095,0.999366524090095
"siiD",0.230958225289559,4.78895512043245,0.249821219088952,0.620444423782072,0.999366524090095,0.999366524090095
