"","S1","S11","S21","genename"
"SL1344_2333",184,163,221,"dedD"
"SL1344_1366",184,211,171,"rnt"
"SL1344_4349",181,198,185,"mpl"
"SL1344_3378",181,175,207,"SL1344_3378"
"SL1344_2967",203,167,192,"ygdL"
"SL1344_4284",179,190,192,"yjeP"
"SL1344_P1_0003",180,158,223,"traI"
"SL1344_P1_0061",187,195,179,"SL1344_P1_0061"
"SL1344_3559",184,183,192,"prlC"
"SL1344_0222",162,217,179,"uppS"
"SL1344_2068",180,177,200,"rfbG"
"SL1344_2487",177,180,200,"yfgB"
"SL1344_1834",167,201,187,"yebC"
"SL1344_1820",176,168,210,"zwf"
"SL1344_3951",180,174,200,"hemN"
"SL1344_0123",172,181,200,"murE"
"SL1344_0244",192,188,173,"yaeB"
"SL1344_1168",163,199,191,"phoQ"
"SL1344_3950",181,195,176,"yihI"
"SL1344_2983",201,138,212,"mutH"
"SL1344_3852",169,194,188,"rbsK"
"SL1344_3320",167,210,169,"degQ"
"SL1344_1271",206,163,176,"pheS"
"SL1344_3940",167,196,182,"hemG"
"SL1344_0247",179,184,181,"yaeE"
"SL1344_0936",147,191,205,"ompF"
"SL1344_3473",215,164,163,"feoB"
"SL1344_1280",229,111,201,"ydiE"
"SL1344_3198",186,194,161,"ygjU"
"SL1344_1989",171,160,209,"SL1344_1989"
"SL1344_3366",200,170,170,"yrdA"
"SL1344_0249",168,194,176,"yaeD"
