"","logFC","logCPM","F","PValue","p_value_FDR","FDR"
"SL1344_4146",0.48145120019976,4.33032106449013,2.1807136917746,0.172349227987859,0.992378856146764,0.992378856146764
"pgi",-0.182691663389455,7.9774424107961,1.7909039131866,0.189763347312983,0.992378856146764,0.992378856146764
"qor",0.349237041419102,6.07285427815871,1.85062381851733,0.182728633393294,0.992378856146764,0.992378856146764
"ssb",-0.218449605706681,8.40652763108571,2.18755728568991,0.148404216701637,0.992378856146764,0.992378856146764
"siiC",0.682249235046445,4.51254092926636,2.1294927311371,0.153734664703498,0.992378856146764,0.992378856146764
"siiF",-0.297538816783176,7.2860109088689,2.07809005948248,0.159320191090481,0.992378856146764,0.992378856146764
"SL1344_4206",0.229591955515805,6.29928556405113,2.17021436421865,0.149973218916695,0.992378856146764,0.992378856146764
"acs",0.525612534322725,5.15554640044523,1.80102800400146,0.188548066325505,0.992378856146764,0.992378856146764
"nrfG",-0.485372534301989,4.53416443249795,1.75999401968756,0.193532829324717,0.992378856146764,0.992378856146764
"basR",0.440171578799137,6.28956520473812,2.31178465536585,0.139040517834346,0.992378856146764,0.992378856146764
"rtsA",0.680821385482834,4.67750424131788,1.86713884284728,0.181590107997427,0.992378856146764,0.992378856146764
"SL1344_4254",0.294441413461843,5.41684770863706,1.69020583519904,0.202383403794835,0.992378856146764,0.992378856146764
"yjeJ",-0.330380334402637,5.39991591585493,2.35982735102769,0.133819503249719,0.992378856146764,0.992378856146764
"yjfM",0.852722545997595,4.34190264499793,2.37944925408178,0.132266890832509,0.992378856146764,0.992378856146764
"aidB",0.395062618149144,4.70707767335591,2.04160169804905,0.174966263698152,0.992378856146764,0.992378856146764
"SL1344_4323",-0.190858704123636,10.3085825386872,1.84435754909531,0.183451830693856,0.992378856146764,0.992378856146764
"iolT1",-0.310020870142946,5.64812684813521,1.99242431080092,0.167241409715743,0.992378856146764,0.992378856146764
"SL1344_4385",0.516861681601402,5.16528709050185,2.07898151254688,0.158556137481139,0.992378856146764,0.992378856146764
"SL1344_4395",1.18693906287978,4.98204317253104,1.87030938210127,0.183105004013254,0.992378856146764,0.992378856146764
"SL1344_4421",0.191343566226796,6.96841224043699,1.73103361826773,0.197147268331903,0.992378856146764,0.992378856146764
"SL1344_4465",0.304230186455078,6.05997182121908,2.08491625795832,0.157980473583824,0.992378856146764,0.992378856146764
"SL1344_4483",-0.321417643441435,6.16291545429687,1.82668853498616,0.185509673579669,0.992378856146764,0.992378856146764
"prfC",-0.166162680093324,8.39838994861224,1.78576194965007,0.190384207817757,0.992378856146764,0.992378856146764
